fr,en,de,it
sauvegarde paramètres pmc,pmc parameters backup,sicherung der pmc parameter,backup parametri pmc
sauvegarde pmc ladder,pmc ladder backup,Sicherung von PMC Ladder,backup PMC ladder
sauvegarde pmc lader,pmc ladder backup,Sicherung von PMC Ladder,backup PMC ladder
sauvegarde sram,sram backup,sram sicherung,backup sram
sauvegarder et fermer,save and close,speichern und schließen,salvare e chiudere
sauvegardes,backups,sicherungen,backup
sauver,save,speichern,salvare
sauver un programme,save a program,ein programm speichern,salvare un programma
sauver une séquence production,saving a production sequence,sichern einer produktionssequenz,salvare una sequenza di produzione
save,save,speichern,salvare
schaublin w,schaublin w,schaublin w,schäublin w
schäublin,schaublin,schaublin,schaublin
schéma connexion machine par machine,machine by machine connection diagram,verbindungsschema maschinenweise,schema connessione macchina per macchina
schéma connexion serveur centralisé,central server connection diagram,Verbindungsschema zentraler Server,schema connessione server centralizzato
schéma des cassettes,tray diagram,Kassettenplan,schema delle cassette
schéma réseau lasersmart,lasersmart network diagram,Netzschema Lasersmart,schema rete lasersmart
scies blade,saw blade,sägen blade,lama per sega
se,refer,siehe,vedere
se reporter au paragraphe caractéristiques particulières,refer to the section special features,siehe abschnitt besondere eigenschaften,riferirsi al paragrafo caratteristiche particolari
se référer au chapitre,refer to chapter,siehe kapitel,riferirsi al capitolo
se référer au manuel dinstallation,refer to the installation manual,siehe installationshandbuch,riferirsi al manuale dinstallazione
se référer au manuel machine chapitre,refer to the machine manual chapter,siehe maschinenhandbuch kapitel,riferirsi al manuale macchina capitolo
se référer au manuel psmart,refer to the psmart manual,siehe das handbuch psmart,riferirsi al manuale psmart
se référer au pdf,refer to pdf,siehe pdf,riferirsi al pdf
se référer au schéma électrique,refer to the wiring diagram,schaltplan berücksichtigen,consultare lo schema elettrico
se référer au tableau,refer to the table,siehe tabelle,riferirsi alla tabella
se référer à,see,siehe,riferirsi a
se référer à cette instruction,refer to this instruction,siehe entsprechende anleitung,riferirsi a questa istruzione
secondaire,secondary,sekundär,secondario
seconde,second,Sekunde,secondo
seconde ou,seconds s or min,Sekunden s oder min,secondi s o min
secondes,seconds,Sekunden,secondi
secondes ou,seconds or,Sekunden oder,secondi o
secteur dépouillé,relieved sector,hinterschliffener sektor,area di spoglia
section,cross section,Querschnitt,sezione
section coupante,cutting section,Schneidabschnitt,sezione di taglio
section zone,zone section,Zonenabschnitt,sezione di zona
section ø en points,section ø at points,schnitt ø an punkten,sezione ø in punti
security,security,sicherheit,sicurezza
securité,safety,sicherheit,sicurezza
segment,segment,segment,segmento
segment droit,straight segment,gerades Segment,segmento diritto
segment long et fin,long and thin segment,langes und dünnes Segment,segmento lungo e sottile
segment rayon,radius segment,Radiensegment,segmento raggio
segment s,segment s,Segment s,segmento s
segments droits,straight segments,gerade Segmente,segmenti diritti
segments rayons,radius segments,Radiensegmente,segmenti di raggio
segments à dresser,dressing segments,Abrichtsegmente,segmenti da ravvivare
select an axis,select an axis,eine achse wählen,selezionare un asse
selecteur a cles door axis spn,door axis spn selector with key,Türachsen-SPN-Wahlschalter mit Schlüssel,selettore asse porta SPN con chiave
selectionner paramètres robot,select robot parameters,Roboterparameter auswählen,selezionare parametri robot
selon dessin,as per drawing,gemäß Zeichnung,in base alla figura
selon l'ordre des axes sélectionnés,in the order of the selected axes,in der Reihenfolge der gewählten Achsen,secondo l'ordine degli assi selezionati
selon les axes sélectionnés,according to the selected axes,je nach gewählten achsen,secondo gli assi selezionati
selon liste des travaux ci dessus,according to the list of works above,gemäß der Liste der Arbeiten oben,secondo l'elenco dei lavori sopra
selon machine,depending on machine,je nach maschine,secondo macchina
selon plaquette d'identification,as marked on identification plate,gemäß Typenschild,secondo targhetta d'identificazione
selon plaquette didentification,as marked on identification plate,gemäß Typenschild,secondo targhetta d'identificazione
semelle,sole,Grundplatte,elemento di sostegno
semelle alignée,aligned sole,ausgerichtete Grundplatte,elemento di sostegno allineato
semestre,half yearly,halbjährlich,semestrale
semestrielle,semi-annual,halbjährlich,semestrale
sens,direction,Richtung,direzione
sens des rotations,directions of rotation,Drehrichtungen,sensi di rotazione
sens des rotations des meules,direction of wheel rotation,Schleifscheibenrotationsrichtung,direzione di rotazione delle mole
serrage,clamping,Spannung,serraggio
serrage clou,nail clamping,Nagelspannung,serraggio chiodo
serrage clou si trou central,pin clamping if central hole,Stifteinspannung bei zentraler Bohrung,serraggio a perno se foro centrale
serrage doigt,finger clamping,Fingerklemmung,serraggio a dito
serrage entre pointes,between-centres clamping,Spannung zwischen Spitzen,serraggio tra punte
serrage multiple,multiple clamping,Mehrfachspannung,multi clamping
serrage nm,tightening nm,Spannen n,serraggio nm
serrage par clous famille iso a,clamping with pins iso a family,Einspannen mit Stiften ISO A Familie,serraggio tramite chiodi famiglia ISO A
serrage par levier uni directionnel f f,clamping using a unidirectional lever f f,einspannung mit unidirektionalem hebel f f,serraggio con leva unidirezionale f f
serrage pneumatique,pneumatic clamping,pneumatische Spannung,serraggio pneumatico
serrage pneumatique en v,pneumatic clamping in v,pneumatische Spannung in V,serraggio pneumatico a V
serrage rampe,ramp clamping,Rampenspannung,serraggio rampa
serrage sans faux rond,clamping without runout,Spannen ohne Rundlauffehler,serraggio senza ovalizzazione
serrage tasseau,clamping of tenon,Einspannung Flansch,serraggio tassello
serrage uniquement en pince,clamping in collet only,spannen nur mit Zange,serraggio solo nella pinza
serrages inserts,insert clamps,Wendeplatten-Spannsysteme,sistemi di serraggio inserti
serre,clamps,Spannvorrichtungen,morse
serrer,tighten,spannen,serrare
serrer lensemble sans forcer,tighten the assembly without forcing,die baugruppe ohne kraftanwendung festziehen,stringere linsieme senza forzare
serrer les vis,tighten the screws,die schrauben festziehen,serrare le viti
serrer les vis m,tighten the screws,die schrauben m festziehen,serrare le viti
serrer les écrous correctement,tighten the nuts correctly,die Muttern ordnungsgemäß anziehen,stringere i dadi correttamente
serrer légèrement les vis,tighten the screws slightly,die schrauben leicht festziehen,serrare leggermente le viti
serrer un barreau en pince,,einen rohling in der spannzange einspannen,stringere un cilindretto nella pinza
serveur,server,Server,server
serveur central,central server,zentraler Server,server centrale
serveur centralisé,central server,zentraler Server,server centralizzato
serveur centralisé et machine par machine,centralized server and machine by machine,zentraler server und maschinenweise,server centralizzato e macchina per macchina
serveur mysql,mysql server,MySQL-Server,mysql server
service,service,kundendienst,servizio
service request,service request,Serviceanfrage,richiesta di assistenza
service save,service save,service save,service save
service standalone,standalone service,standalone service,servizio standalone
service windows,windows service,Windows-Dienst,windows service
services,services,Dienstleistungen,servizi
servo off error,servo off error,Fehler Servo aus,errore servo disattivato
servos,servos,Servos,servocomandi
set dépouille diamètre et boule passe,set relief angle diameter and ball pass,set freiwinkel durchmesser und kugel durchgang,set angolo di spoglia diametro e passaggio sfera
set dépouille diamètre et boule passes,set relief angle diameter and ball passes,set freiwinkel durchmesser und kugel durchgänge,set angolo di spoglia diametro e passate a sfera
set dépouille diamètre et rayon passe,set relief angle diameter and pass radius,set freiwinkel durchmesser und radius durchgang,set angolo di spoglia diametro e raggio di passata
setting,setting,Einstellung,impostazione
settings,settings,Einstellungen,impostazioni
setup exe,setup exe,setup exe,setup exe
setup insert family f,insert setup family f,Einsatz-Setup-Familie f,famiglia di inserti setup f
seul un message apparaît,only one message appears,es erscheint lediglich eine Meldung,appare solo un messaggio
seulement finition,finish only,nur schlichten,soltanto finitura
seulement insert clou,nail insert only,nur Einsatz mit Stift,solo inserto chiodo
seulement mode iso,only in iso mode,nur im ISO-Modus,solo in modalità ISO
seulement taillage,cutting only,nur nuten,solo dentatura
seulement xi,xi only,nur xi,solo xi
seules les meules d'affûtage peuvent tourner,only the grinding wheels can rotate,nur die Schleifscheiben können sich drehen,solo le mole da affilatura possono ruotare
seules les meules peuvent bouger,only the grinding wheels can move,nur die schleifscheiben können sich bewegen,solo le mole possono muoversi
seuls certains cas sont possibles,only certain cases are possible,nur bestimmte Fälle sind möglich,solo alcuni casi sono possibili
seuls les alignements sont différents,only the alignments are different,nur die Ausrichtungen sind unterschiedlich,solo gli allineamenti sono diversi
seuls les axes cn peuvent bouger,only the CNC axes can move,nur die cnc achsen können sich bewegen,solo gli assi possono muoversi
seuls les axes cnc peuvent bouger,only the CNC axes can move,nur die cnc achsen können sich bewegen,solo gli assi cnc possono muoversi
seuls les sorties avant sont disponible,only the front outlets are available,nur die vorderen auslässe sind verfügbar,solo le uscite anteriori sono disponibili
shapesmart np,shapesmartnp,ShapeSmart NP,ShapeSmart NP
shapesmart np manuel d'instruction,shapesmart np instruction manual,shapesmart np Bedienungsanleitung,shapesmart np manuale di istruzioni
shapesmart np options chapitre,shapesmart np options section,shapesmart np optionen kapitel,shapesmart np options capitolo
shapesmartnp manuel dutilisation,shapesmartnp user manual,shapesmartnp benutzerhandbuch,shapesmartnp manuale di utilizzo
shift,shift,Shift,shift
shift f,shift f,shift f,shift f
shifts,shifts,schichten,turni
si besoin,if necessary,bei bedarf,se necessario
si les boutons,if the buttons,wenn die tasten,se i pulsanti
si lles opérations,if the operations,wenn die arbeitsschritte,se le operazioni
si nécessaire,as needed,bei Bedarf,se necessario
si nécessaire cliquer sur,if necessary click on,bei bedarf auf,se necessario fare clic su
si nécessaire corriger les,if necessary correct the,bei bedarf die,se necessario correggere gli
si nécessaire corriger les deux meules,correct both wheels if necessary,gegebenenfalls die beiden Schleifscheiben korrigieren,se necessario correggere entrambe le mole
si nécessaire descendre lappui,if necessary lower the support,gegebenenfalls die stütze absenken,se necessario far scendere lappoggio
si nécessaire desserrer les vis d,if necessary loosen screws d,falls erforderlich die schrauben d lösen,se necessario allentare le viti d
si nécessaire presser,if necessary press,gegebenenfalls drücken,se necessario premere
si nécessaire presser sur,if necessary press,gegebenenfalls drücken,se necessario premere
si nécessaire répéter létape,if necessary repeat the step,gegebenenfalls den Schritt wiederholen,se necessario ripetere l'operazione
si nécessaire se référer au chapitre,if necessary refer to the chapter,siehe gegebenenfalls kapitel,se necessario riferirsi al capitolo
